date,Lunch ,Dinner ,Total
Wed 13 May 20,17.0,0.0,17.0
Thu 14 May 20,0.0,0.0,0.0
Fri 15 May 20,0.0,0.0,0.0
Sat 16 May 20,0.0,0.0,0.0
Sun 17 May 20,0.0,0.0,0.0
Mon 18 May 20,0.0,0.0,0.0
Tue 19 May 20,0.0,0.0,0.0
Wed 20 May 20,0.0,66.0,66.0
Thu 21 May 20,0.0,0.0,0.0
Fri 22 May 20,0.0,232.0,232.0
Sat 23 May 20,0.0,0.0,0.0
Sun 24 May 20,0.0,0.0,0.0
Mon 25 May 20,0.0,0.0,0.0
Tue 26 May 20,0.0,0.0,0.0
Wed 27 May 20,0.0,0.0,0.0
Thu 28 May 20,0.0,0.0,0.0
Fri 29 May 20,0.0,72.0,72.0
Sat 30 May 20,-45.0,0.0,-45.0
Sun 31 May 20,0.0,0.0,0.0
Mon 1 Jun 20,4.818,5.981,10.799
Tue 2 Jun 20,961.0,4.566,5.646
Wed 3 Jun 20,1.336,4.42,5.757
Thu 4 Jun 20,1.522,4.251,5.781
Fri 5 Jun 20,1.06,5.003,6.063
Sat 6 Jun 20,2.983,4.772,7.755
Sun 7 Jun 20,2.356,3.935,6.291
Mon 8 Jun 20,1.455,3.341,4.796
Tue 9 Jun 20,1.13,2.653,3.789
Wed 10 Jun 20,2.133,4.398,6.531
Thu 11 Jun 20,2.011,5.493,7.503
Fri 12 Jun 20,2.353,6.532,8.885
Sat 13 Jun 20,3.83,9.174,13.225
Sun 14 Jun 20,2.758,3.916,6.674
Mon 15 Jun 20,615.0,4.111,4.805
Tue 16 Jun 20,1.497,3.558,5.092
Wed 17 Jun 20,1.484,4.688,6.172
Thu 18 Jun 20,1.434,4.188,5.622
Fri 19 Jun 20,1.803,6.996,8.803
Sat 20 Jun 20,4.151,6.883,11.108
Sun 21 Jun 20,4.208,5.954,10.172
Mon 22 Jun 20,854.0,5.169,6.023
Tue 23 Jun 20,2.245,4.817,7.263
Wed 24 Jun 20,2.776,5.504,8.28
Thu 25 Jun 20,1.228,6.288,7.55
Fri 26 Jun 20,4.117,8.32,12.637
Sat 27 Jun 20,4.84,8.741,13.58
Sun 28 Jun 20,5.26,6.761,12.021
Mon 29 Jun 20,1.459,3.513,5.031
Tue 30 Jun 20,1.642,4.153,5.882
Wed 1 Jul 20,1.963,6.827,8.861
Thu 2 Jul 20,2.247,6.394,8.878
Fri 3 Jul 20,2.089,10.469,12.638
Sat 4 Jul 20,5.683,11.738,17.45
Sun 5 Jul 20,3.56,9.886,13.566
Mon 6 Jul 20,2.339,4.994,7.333
Tue 7 Jul 20,2.473,6.293,8.766
Wed 8 Jul 20,1.648,4.292,5.941
Thu 9 Jul 20,2.432,4.863,7.296
Fri 10 Jul 20,3.293,10.56,13.969
Sat 11 Jul 20,4.664,13.844,18.557
Sun 12 Jul 20,4.912,9.216,14.259
Mon 13 Jul 20,2.234,8.663,10.897
Tue 14 Jul 20,3.37,6.908,10.278
Wed 15 Jul 20,2.184,7.292,9.476
Thu 16 Jul 20,2.786,7.679,10.476
Fri 17 Jul 20,2.263,11.48,13.853
Sat 18 Jul 20,4.056,14.364,18.42
Sun 19 Jul 20,6.278,9.806,16.281
Mon 20 Jul 20,2.086,9.93,12.016
Tue 21 Jul 20,3.109,7.293,10.481
Wed 22 Jul 20,1.838,8.88,10.718
Thu 23 Jul 20,2.309,7.834,10.312
Fri 24 Jul 20,2.28,10.49,12.77
Sat 25 Jul 20,4.181,13.674,17.992
Sun 26 Jul 20,4.31,8.743,13.17
Mon 27 Jul 20,3.058,6.087,9.189
Tue 28 Jul 20,1.86,10.097,11.957
Wed 29 Jul 20,2.667,9.261,11.928
Thu 30 Jul 20,2.152,9.433,11.585
Fri 31 Jul 20,3.319,11.915,15.234
Sat 1 Aug 20,4.295,13.653,17.947
